,user_id,condition,round,actor,action,time,object_type,object_value,other_details
0,0,treatment,0,human,load,1668030097.127462,grid,harvest,
1,0,treatment,0,human,load,1668030097.1267369,grid,harvest,
2,0,treatment,0,human,load,1668030365.4594061,grid,harvest,
3,0,treatment,0,human,load,1668030365.471885,grid,harvest,
4,0,treatment,0,human,load,1668030397.857671,grid,harvest,
5,0,treatment,0,human,load,1668030397.859125,grid,harvest,
6,0,treatment,0,human,load,1668030399.2245,grid,harvest,
7,0,treatment,0,human,load,1668030399.4904242,grid,harvest,
8,0,treatment,0,human,click,1668030563.583283,cell,3_2,
9,0,treatment,0,human,click,1668030564.0920131,cell,3_1,
10,0,treatment,0,human,click,1668030564.5751228,cell,2_1,
11,0,treatment,0,human,move,1668030566.485872,sentence,"12. At harvest time, the cooperative has to collect ALL the yield from farmers and store in headquarters; then they take all the corresponding credit from each farmer's production and leave the remaining to each farmer.",from_1_to_2
12,0,treatment,0,human,create_cluster,1668030569.669075,cluster,paid,
13,0,treatment,0,human,create_cluster,1668030571.279916,cluster,by,
14,0,treatment,0,human,freeze,1668030571.279916,sentence,"4. If labor is available, and the harvesters are not available, a farmer will harvest early if he expects a good market price or if birds are nearby or if he wants to spend less on harvest.",cluster_by
15,0,treatment,0,human,freeze,1668030571.279916,sentence,"18. But for onions, the farmers being in cooperatives, they lobby to pressure the government for a grace period after harvest where imports are stopped, e.g. a month in which domestic producers can sell before imports are allowed.",cluster_by
16,0,treatment,0,human,create_cluster,1668030573.7000031,cluster,credit,
17,0,treatment,0,human,freeze,1668030573.7000031,sentence,"12. At harvest time, the cooperative has to collect ALL the yield from farmers and store in headquarters; then they take all the corresponding credit from each farmer's production and leave the remaining to each farmer.",cluster_credit
18,0,treatment,0,human,freeze,1668030573.7000031,sentence,"13. Financing line in any bank they choose, to support startup costs and subsidize through credit for farmers, e.g. for new equipment, etc.",cluster_credit
19,0,treatment,0,human,freeze,1668030573.7000031,sentence,"15. Credit union makes a program to subsidize 20 or 30% of equipment cost, so farmers pay back only 70% of 40 million or whatever.",cluster_credit
20,0,treatment,0,human,freeze,1668030573.7000031,sentence,"22. A final factor is that you need to repay your loans before you can get new credit, so you want to harvest faster so you can repay faster.",cluster_credit
21,0,treatment,0,human,freeze,1668030573.7000031,sentence,"46. The bulletin says the remaining credit comes from credit loaned on onions, which is supposed to be paid by June six months between onion harvest and full credit reimbursement!",cluster_credit
22,0,treatment,0,human,freeze,1668030573.7000031,sentence,"47. Not able to predict the level of production in the future due to uncertain factors, e.g. do farmers have access to inputs, does the credit come in on time, do farmers use technology and machinery or not all of these factors constrain the area cultivated.",cluster_credit
23,0,treatment,1,human,update,1668030575.185029,grid,harvest,
24,0,treatment,1,machine,move,1668030575.185029,sentence,"2. If a farmer waits until the rice is ready, he might lose more than if he harvests early.",to_3
25,0,treatment,1,machine,move,1668030575.185029,sentence,3. Dr. Fall expects him to harvest early.,to_3
26,0,treatment,1,machine,move,1668030575.185029,sentence,"5. If a farmer's farm size is big enough, he will wait until harvesters are available, but if his plots are small, he will hire labor.",to_3
27,0,treatment,1,machine,move,1668030575.185029,sentence,"6. If a farmer harvests paddy rice late, he won't be able to start tomatoes in the colddry season.",to_3
28,0,treatment,1,machine,move,1668030575.185029,sentence,"7. Suppose that Mr. A has harvested, but he hasn't repaid his coop yet.",to_3
29,0,treatment,1,machine,move,1668030575.185029,sentence,"8. Sometimes farmers just do one crop a year because they harvest late, etc.",to_3
30,0,treatment,1,machine,move,1668030575.185029,sentence,"10. The local cooperative wouldn't help an elderly couple without children to harvest their fields, because cooperatives have their own goals.",to_3
31,0,treatment,1,machine,move,1668030575.185029,sentence,11. It is culturally expected to help elders and to go harvest their fields and give them the product.,to_3
32,0,treatment,1,machine,move,1668030575.185029,sentence,16. Labor most of the irrigated system requires a lot of labor if you're not using machinery (and you probably aren't because it's expensive.),to_3
33,0,treatment,1,machine,move,1668030575.185029,sentence,"17. You might not have enough money to hire labor, COVID might make it difficult, or nobody can move the machinery to where you are.",to_3
